date_time	tension	problem
2025-03-14_09:00:01	0	The sore throat is still there (from last midnight) but very mild now!
2025-03-14_13:00:01	0	
2025-03-14_13:30:01	0	
2025-03-14_14:00:01	0	
2025-03-14_14:30:01	0	
2025-03-14_15:00:01	0	
2025-03-14_15:30:01	0	
2025-03-14_16:00:01	0	
2025-03-14_16:30:01	0	
2025-03-14_17:00:02	0	
2025-03-14_17:30:01	30	The sore throat get severer after a long work and still pressure from the work until now.
2025-03-14_18:00:01	0	
2025-03-14_18:30:01	30	
2025-03-14_19:00:01	30	
2025-03-14_19:30:01	50	The sore throat get worse! :(
2025-03-14_20:00:01	50	
2025-03-14_20:30:01	50	
2025-03-21_09:00:01	10	Still coughing but under control.
2025-03-21_09:30:01	0	Got better! :)
2025-03-21_10:00:01	0	
2025-03-21_10:30:01	0	
2025-03-21_11:00:01	0	
2025-03-21_11:30:01	0	
2025-03-21_12:00:01	0	
2025-03-21_12:30:01	30	After lunch, the cough's returned
2025-03-21_13:00:01	0	
2025-03-21_13:30:02	0	
2025-03-21_14:00:01	0	
2025-03-21_14:30:01	0	
2025-03-21_16:00:01	0	
2025-03-21_15:30:01	0	
2025-03-21_15:00:01	0	
2025-03-21_16:30:01	0	
2025-03-21_17:00:01	0	
2025-03-21_17:30:01	0	
2025-03-21_18:00:01	0	
2025-03-21_18:30:01	0	
2025-03-21_19:00:01	0	
2025-03-21_19:30:01	0	
2025-03-21_20:00:01	0	
2025-03-21_20:30:01	0	
2025-03-24_09:00:01	0	My lung inflammation seems nearly recovered, very mild coughs remain!
2025-03-24_09:30:01	0	
2025-03-24_10:00:01	0	
2025-03-24_10:30:01	0	
2025-03-24_11:00:01	0	
2025-03-24_11:30:01	0	
2025-03-24_12:00:01	0	
2025-03-24_12:30:01	0	
2025-03-24_13:00:01	0	
2025-03-24_13:30:01	0	After the noon nap, the cough returns more, but i can stablize it with this short meditation.
2025-03-24_14:00:01	0	
2025-03-24_14:30:01	0	
2025-03-24_15:00:01	0	
2025-03-24_15:30:01	0	
2025-03-24_16:00:01	0	
2025-03-24_16:30:01	0	
2025-03-24_17:00:01	0	
2025-03-24_18:30:01	0	
2025-03-24_18:00:01	0	
2025-03-24_17:30:01	0	
2025-03-24_19:00:01	0	
2025-03-24_19:30:01	0	
2025-03-24_20:00:01	0	
2025-03-24_20:30:01	0	
2025-03-25_09:00:01	0	
2025-03-25_09:30:01	0	
2025-03-25_10:00:01	0	
2025-03-25_10:30:01	0	
2025-03-25_11:00:01	0	
2025-03-25_11:30:01	0	
2025-03-25_12:00:01	0	
2025-03-25_12:30:01	0	
2025-03-25_13:00:01	0	
2025-03-25_13:30:01	0	
2025-03-25_14:00:01	0	
2025-03-25_15:00:01	0	
2025-03-25_14:30:01	0	
2025-03-25_15:30:01	0	
2025-03-25_16:00:01	0	
